sample,rep,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn,N,C,C/N
219,0,0.0,2595.2355414364642,7070.380483425415,1624.324461325967,27171.059209944753,2864.7048066298344,33.01069337016575,316.3642845303868,0.0,11.759174033149172,2.6414,39.439800000000005,14.93084
219,1,0.0,2953.6860395604394,7281.765283516484,1829.6878989010988,28445.650734065937,2961.6278857142856,32.221204395604396,370.54385054945055,0.0,12.820408791208791,2.6414,39.439800000000005,14.93084
219,2,0.0,2564.813607594937,6325.189756962027,1385.8488405063292,25012.97713924051,2658.51915443038,25.35408101265823,370.7707620253165,0.0,9.148379746835445,2.6414,39.439800000000005,14.93084
220,0,0.0,2641.823972413793,7317.112089655173,1824.8509908045978,26991.98302068966,2829.64435862069,34.61653103448276,313.8336988505747,2.0564275862068966,13.252533333333336,2.6578,39.2924,14.784020000000002
220,1,0.0,3015.227593582887,7464.096470588234,1724.4106951871656,29358.57647058823,3063.250909090909,30.723850267379675,402.0395721925133,0.0,11.902032085561494,2.6578,39.2924,14.784020000000002
220,2,0.0,3076.5735575396825,7608.4300694444455,1974.1203154761909,28991.2305734127,3015.856386904762,34.21686706349207,362.373882936508,0.609202380952381,13.910121031746034,2.6578,39.2924,14.784020000000002
220,3,0.0,2731.179359673025,4731.992247956404,1367.5732561307902,26507.419209809268,2818.319918256131,32.96840599455041,409.9847002724796,0.2735967302452316,11.49106267029973,2.6578,39.2924,14.784020000000002
221,0,0.0,1997.6435727002963,7744.948937685458,1993.9174599406524,27530.607691394653,3672.0096023738865,32.34265875370919,342.2061958456972,0.0,26.678967359050436,3.0138,42.0466,13.95224
221,1,0.0,2330.8051805555556,8162.494611111112,2302.5064861111114,29440.354909722224,3845.025152777778,31.895986111111114,389.46677777777785,0.0,29.01815277777778,3.0138,42.0466,13.95224
221,2,0.0,2423.358145408163,8334.09724234694,2324.876630102041,31058.50888010204,3970.1515969387756,30.230920918367346,390.22970408163263,0.0,28.250729591836734,3.0138,42.0466,13.95224
222,0,0.0,2006.3707217630858,7978.839101928375,2121.948242424243,27758.831024793395,3701.6452837465567,33.02214876033058,332.69814876033064,0.0,27.93123415977962,3.1654,44.830799999999996,14.16246
