soil,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
coloma,22.266186067547867,348.98,750.78,109.00595621876106,596.03,844.52,292.37,7306.619999999999,25.0,21.77
coloma,21.469161956773306,164.34,855.1,108.43203205514683,610.8100000000001,752.22,289.84,7117.289999999999,24.0,20.79
coloma,23.244766964658375,252.76999999999998,770.86,116.66110120406579,674.0500000000001,821.37,291.69,7931.51,27.0,21.37
coloma,22.1572456569618,652.66,888.28,104.12682974707799,777.4,763.46,392.57,6631.98,23.0,26.99
coloma,21.699167617119066,285.98,996.97,115.09115346177029,752.89,689.04,400.75,6661.659999999999,26.0,25.2
coloma,23.330592141294634,480.28999999999996,968.16,124.05987842741185,793.06,727.11,385.25,7123.29,31.0,25.91
coloma,19.271908274668977,600.16,840.26,93.36677531817143,464.56,951.9899999999999,127.10000000000001,4994.33,27.0,13.9
coloma,18.622985323459176,352.34,850.3,94.5173511352507,497.58,857.49,126.95000000000002,5033.87,26.0,13.4
coloma,18.896709533748435,357.89,806.22,367.0,539.74,922.64,124.65000000000002,5505.48,26.0,13.13
coloma,18.626623980356204,419.87,804.03,90.68359198379876,515.05,780.6,121.55999999999999,5051.98,25.0,12.91
coloma,18.02111395785507,208.52,786.14,87.99240622872627,529.51,703.99,124.31999999999998,5216.4,22.0,13.13
coloma,18.990025576282903,238.36000000000004,830.66,94.92963747644346,538.74,740.49,119.71,5576.26,25.0,12.64
coloma,25.860684051829605,745.59,998.7100000000002,112.65347190429469,773.41,979.43,334.24,8763.05,25.0,24.04
coloma,24.724751416722057,389.61,894.39,114.12108195957407,877.96,861.91,330.23,8656.71,24.0,22.61
coloma,26.55740763548419,512.21,928.0,119.91070322777705,768.97,911.8500000000001,327.07,9602.03,26.0,23.44
coloma,19.997592711270293,568.84,768.24,95.42659874924452,564.41,861.41,144.8,5622.18,26.0,17.06
coloma,18.86897524340102,301.18,846.8099999999998,90.95779509250119,555.73,763.14,141.79,5594.85,22.0,17.67
coloma,20.36728211527695,328.22,855.1,99.25944995417389,879.46,816.55,137.74,6121.36,25.0,16.41
coloma,23.00674537961048,588.96,854.6699999999998,119.05001071935621,706.4099999999999,890.6800000000001,290.73,6825.35,32.0,21.92
coloma,21.981382602970605,401.5,838.08,105.25062885118794,653.83,779.05,297.23,7043.610000000001,24.0,20.95
coloma,22.890356647241475,441.49,969.9,106.93807889814038,800.17,809.84,287.32,7456.929999999999,24.0,21.1
coloma,18.397884276621557,432.23,739.43,85.2026152034244,529.42,780.92,188.77,5177.73,20.0,18.94
coloma,18.012090589077893,99.71,726.77,93.58518360861335,495.16,699.39,188.95,5352.57,22.0,17.58
coloma,18.67105238336922,128.29,617.65,91.24144789452677,633.38,751.65,185.33,5835.43,20.0,18.06
coloma,24.57590771671374,647.63,942.4,112.78485911094313,733.98,924.8899999999999,310.1,7998.739999999999,27.0,20.74
coloma,24.10268818099001,334.82,780.03,114.505618127248,568.49,840.73,295.44,8465.19,26.0,19.74
coloma,25.237264420336466,469.93,813.2,120.80192601092836,733.9,844.1,306.77,8685.51,29.0,20.61
coloma,22.981088787326623,789.13,811.45,102.26865310925278,597.11,1047.54,233.43000000000004,6998.770000000001,26.0,20.06
coloma,22.723937340039544,538.49,872.13,97.06222340515939,479.82,965.61,230.49999999999997,7645.65,21.0,19.57
coloma,25.013186372290512,694.56,909.67,106.42221386008138,1098.65,1043.31,237.09,8308.73,24.0,20.52
coloma,23.776275143959726,652.76,959.86,109.2307253783167,684.68,1036.39,334.6,7533.400000000001,25.0,23.02
coloma,38.75,541.13,910.54,113.85587941976846,791.95,978.0300000000001,328.8,8274.46,26.0,22.24
coloma,25.08830065365939,516.7,1055.02,114.71777301125675,718.3,933.71,336.77,8611.37,25.0,22.6
coloma,22.74549713250875,947.8799999999999,893.66,100.89563266678014,813.7,963.9000000000001,315.16,6469.25,24.67,25.75
coloma,23.691725637592228,743.94,931.05,106.25472358048447,703.62,933.4199999999998,324.51,7523.01,24.0,26.29
coloma,23.259921276816925,628.67,918.8299999999999,110.6944517891026,773.41,906.8099999999998,307.92,7289.38,26.0,26.22
coloma,117.4,784.18,1013.55,98.21124282320582,974.92,1025.92,345.87,7087.839999999999,23.0,26.93
coloma,23.8209202474141,562.83,975.1400000000001,114.4724017000011,657.01,914.9100000000001,350.1,7725.97,26.0,26.54
coloma,91.06,514.44,924.51,114.8125619053286,1419.95,925.1700000000001,338.33,7824.350000000001,27.0,26.02
coloma,20.222880522465477,695.47,890.9,100.28153480302167,628.63,821.75,266.73,5361.59,26.0,25.19
coloma,20.892797461092496,434.15,778.28,109.96700921174904,532.72,763.1,272.25,6198.13,28.0,24.57
coloma,20.90290236044572,369.89,848.56,108.90151392749824,401.85,766.26,322.29,6383.61,26.0,24.63
coloma,21.296813501310996,733.77,884.35,96.85739488395355,684.37,848.41,277.41,6153.92,23.0,24.81
coloma,23.203104179991442,565.75,836.33,117.12559632751707,626.05,834.42,282.44,7271.420000000001,30.0,24.78
