B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
49.14672140070495,565.75,836.33,296.9724179926305,626.05,834.42,282.44,7271.42,30.0,24.78
42.20056357816708,459.62,897.01,242.83029636549992,506.36,876.87,347.02,7829.4,21.0,25.97
44.88326520636862,586.22,1005.26,280.87392239431165,670.68,864.37,257.73,5483.04,29.0,22.41
48.63984192613157,386.72,965.54,317.5460014026674,596.71,849.51,266.74,6591.02,30.0,22.79
46.61450059005186,432.92,863.83,291.3534549842753,517.95,941.69,330.11,7227.84,27.0,24.19
40.329825910032355,677.9,811.02,244.2566579902529,565.82,914.14,201.99,5230.24,26.0,17.78
44.12739691597203,434.74,706.26,288.3589582334358,490.29,891.32,200.48,6289.37,27.0,18.67
39.858066900008424,273.98,811.45,273.0201099252221,344.97,870.62,222.5,6060.42,23.0,16.66
41.65465953112634,691.17,776.97,251.457691195022,596.07,954.5,189.77,5230.21,27.0,16.92
43.79387319092929,449.5,763.44,277.97541834542926,504.49,921.37,197.12,6367.78,26.0,17.21
41.68719325357017,232.68,694.47,294.3419329657749,331.79,876.92,212.3,5977.22,25.0,16.01
45.75665653199201,695.19,745.98,247.23034354598673,827.73,831.87,274.91,6119.4,26.0,22.69
44.604342671968126,516.09,701.67,259.1712281534815,560.52,803.75,285.13,7269.88,24.5,22.7
44.46211056441514,417.71,848.56,276.78290379203366,406.09,786.77,320.64,7129.97,26.0,21.62
47.960887608504166,1064.81,879.98,240.18649571277183,735.03,1110.07,361.19,7718.29,30.0,29.31
50.435062955122646,788.12,904.43,248.8843002484636,651.48,1103.82,376.44,9751.96,26.0,27.67
52.3224372330351,789.13,869.07,266.8921778306811,503.49,1109.74,441.55,10056.16,29.0,27.45
42.532211266553944,430.22,782.64,268.3035888868471,594.24,811.45,219.15,5524.23,25.0,17.96
46.578324860127395,355.26,756.02,301.31518460471176,488.62,760.96,222.99,6659.24,28.0,18.24
41.644448844274066,229.96,693.16,277.78693850646715,303.65,784.74,256.15,6838.21,23.0,17.4
44.55953738920488,885.19,768.24,214.81151166568822,733.52,1004.9,308.49,7646.83,24.0,25.0
42.0508442113551,821.98,793.12,210.85518001338102,641.42,890.36,270.19,7396.96,23.0,23.67
37.83867875240678,674.37,1048.91,213.64133633693967,311.04,884.25,321.0,7394.19,22.0,22.85
47.937559195942484,393.27,755.15,294.71508773262235,557.17,850.23,235.6,7365.88,27.0,19.43
115.17,387.79,727.65,549.4928133808112,733.16,801.5,214.61,7642.52,26.0,18.85
47.484567405972,340.49,888.71,314.64716711197445,291.64,768.85,247.73,7438.97,30.0,17.49
51.192711952129685,460.26,799.23,310.9642179014512,626.38,1015.95,372.87,7161.51,30.0,23.47
49.06246515429281,472.77,858.16,299.267282382452,588.61,915.34,334.44,7117.76,29.0,23.29
69.24599348702357,355.94,752.09,318.9291215384486,1880.61,917.5,391.2,7082.38,28.0,21.44
50.78457252466724,383.13,1339.62,326.99761956871447,542.79,828.3,229.52,7175.86,32.0,18.93
52.20796514101423,963.57,1222.64,255.41492597008937,815.09,1093.82,585.88,8928.42,30.0,39.65
62.973834948245056,738.5,226.87,297.3867509911103,1265.08,1011.7,674.29,8396.81,31.0,38.06
38.577012271661104,725.67,846.81,256.35677635670015,623.45,1338.83,422.09,7076.99,23.0,45.3
44.145583887813615,1070.2,813.64,275.31114987553644,702.91,1410.1,440.62,8172.89,30.0,52.46
