soil,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
lobby,22.34,1501.58,2090.9,50.51,657.48,3383.39,351.24,5089.92,5.39,36.72
lobby,21.55,1560.78,2107.07,57.32,676.8,3437.71,352.27,5085.76,6.01,37.36
lobby,21.74,1563.82,2174.38,61.81,682.14,3376.96,360.97,5226.83,6.8,37.52
lobby,23.27,1542.6,807.2,21.95,759.1,3331.93,430.26,5869.76,7.74,41.13
lobby,21.65,1517.92,876.38,18.72,716.59,3229.01,423.45,5785.02,7.77,40.74
lobby,21.83,1510.49,901.95,13.44,710.42,3123.24,428.3,5768.25,7.36,40.21
lobby,20.4,1519.15,1030.47,35.73,738.92,3094.65,372.41,5308.49,7.62,40.8
lobby,21.62,1566.36,1065.89,27.15,696.38,3038.19,382.31,5436.1,7.6,41.4
lobby,20.74,1526.4,1083.62,28.05,676.53,3231.87,378.05,5328.65,7.33,40.86
lobby,23.91,1886.67,1549.43,73.68,769.54,3932.99,506.09,6263.14,11.82,67.47
lobby,25.15,1892.94,1555.86,77.84,795.55,3877.96,503.75,6333.49,11.95,67.25
lobby,24.46,1953.24,1630.31,88.11,811.7,3915.84,516.94,6383.23,12.71,68.59
lobby,26.45,1742.86,1485.1,76.22,828.88,3217.58,475.37,6840.89,17.1,42.9
lobby,27.57,1757.35,1491.63,70.78,822.49,3264.03,479.41,6909.75,16.65,43.02
lobby,27.12,1744.87,1486.72,63.55,816.07,3127.53,476.37,6919.44,16.18,42.39
lobby,26.25,1793.16,1612.17,65.18,850.28,3269.75,526.6,6759.92,13.22,50.72
lobby,25.44,1732.11,1598.57,66.11,811.32,3247.6,512.97,6545.01,13.22,48.66
lobby,26.24,1742.77,1561.57,52.71,838.31,3073.92,507.52,6662.48,12.22,48.11
lobby,17.61,1354.26,1407.81,21.46,686.61,984.31,338.97,5248.62,5.52,35.5
lobby,18.7,1377.1,1508.85,24.43,711.48,1021.94,356.97,5379.05,6.64,38.0
lobby,17.98,1380.82,1522.94,23.64,714.62,1025.26,359.09,5436.12,6.69,37.94
lobby,16.9,1439.53,1467.02,19.9,708.67,1062.8,298.76,5135.72,5.71,39.14
lobby,16.51,1396.72,1484.25,19.49,704.21,1047.85,297.96,5162.76,5.5,39.66
lobby,16.8,1490.53,1503.51,21.44,743.79,1080.01,304.6,5286.09,5.58,39.78
lobby,22.61,1942.0,2317.43,115.05,1091.17,3516.32,555.42,6847.11,11.86,50.54
lobby,23.97,1974.96,2328.67,111.52,1105.22,3275.47,562.06,6966.18,11.19,50.95
lobby,33.8,2024.88,2321.16,115.38,1246.01,3906.55,557.0,6982.57,11.67,51.15
lobby,23.29,1770.33,537.48,4.8,731.0,3702.86,335.12,6234.02,6.95,36.21
lobby,22.62,1755.59,555.32,6.71,723.26,3801.49,328.91,6147.81,6.42,35.73
lobby,22.47,1737.89,564.6,7.8,716.66,3912.27,325.36,6122.05,6.29,35.38
lobby,24.66,1994.95,887.64,37.69,854.74,4067.36,484.62,6915.43,6.59,38.59
lobby,38.21,2026.33,906.82,41.54,1132.84,4050.92,487.43,7005.92,6.38,39.1
lobby,26.74,2017.76,929.99,42.41,910.74,3959.44,490.44,7037.87,6.79,38.65
lobby,27.91,2242.36,2309.74,160.41,1259.01,4301.06,561.67,8122.98,14.06,49.8
lobby,27.88,2276.23,2316.42,159.92,1242.43,4710.59,564.07,8024.55,14.07,49.66
lobby,26.79,2208.1,2322.29,160.86,1212.57,4383.97,559.32,7944.82,14.05,48.97
lobby,22.37,1345.39,555.95,28.327897744421065,707.13,1009.02,259.08,5865.67,4.37,29.81
lobby,21.37,1368.01,588.85,24.90089482552345,681.3,990.04,260.97,5827.1,4.82,29.61
lobby,19.75,1260.2,185.02,33.76166234730033,692.9,977.93,264.93,5657.27,4.98,29.04
lobby,18.72,1381.58,275.28,29.744746896734853,602.31,1112.04,198.46,5105.54,4.12,32.04
lobby,18.39,1313.38,216.41,28.683869261667823,586.5,1079.91,187.51,4992.23,2.68,30.4
lobby,20.15,1389.05,268.38,29.666709615106242,660.97,1117.17,196.96,5132.11,3.85,31.87
lobby,14.33,1232.15,259.49,175.0,540.51,1018.29,163.04,4744.59,3.17,26.57
lobby,14.59,1255.39,239.89,20.35625106233303,536.78,1023.12,163.17,4768.53,2.64,26.66
lobby,16.17,1236.29,230.79,24.26421642172349,597.52,1018.07,162.09,4784.49,2.56,26.25
lobby,24.95,1255.81,262.87,44.26212646854336,842.02,1019.42,179.84,4839.54,3.02,27.32
lobby,14.71,1237.13,294.04,25.808269556519022,553.75,989.56,182.17,4767.37,3.5,27.58
lobby,36.84,1236.08,281.87,97.03479792568828,759.44,1000.23,179.43,4667.24,3.82,27.2
lobby,30.09,1227.57,244.08,106.46096721433378,655.22,1057.81,315.17,5423.91,9.45,33.85
lobby,20.75,1231.15,250.42,53.22846860461611,622.19,1043.01,315.34,5424.31,5.12,34.34
lobby,18.18,1168.68,237.14,52.20109343597055,570.3,984.94,295.65,5129.56,4.88,32.81
lobby,15.56,1103.03,296.65,44.338383146136536,583.63,939.69,338.39,5039.5,3.84,34.1
lobby,16.14,1094.85,290.39,44.121261894452545,583.62,939.58,339.83,5068.46,3.5,33.09
lobby,15.95,1107.48,291.08,43.42213096625048,575.09,925.57,340.54,5033.89,3.73,33.14
lobby,20.32,1480.59,728.51,21.81,742.16,3192.56,361.26,5814.99,7.52,37.41
lobby,19.25,1453.88,788.42,21.4,691.42,3376.96,358.7,5749.74,7.48,37.0
lobby,42.26,1482.42,835.49,19.11,815.66,3152.54,359.02,5791.77,7.0,36.74
lobby,22.75,1589.97,954.93,32.99,751.45,3510.61,388.72,6720.93,7.03,34.81
lobby,29.1,1524.49,963.43,39.77,757.94,3547.77,376.27,6283.15,7.52,32.64
lobby,23.02,1597.57,1025.82,39.75,750.19,3379.1,385.47,6562.84,7.29,33.61
lobby,19.37,1488.01,1421.0,72.43,738.8,3543.48,387.69,6007.34,6.49,35.85
lobby,18.79,1475.94,1456.57,71.24,733.34,3496.31,384.46,5928.64,6.09,35.32
lobby,27.46,1489.56,1485.42,71.81,865.0,3469.87,386.0,5925.79,6.03,35.5
lobby,22.19,1514.2,1731.86,70.94,784.43,3396.25,398.12,6267.83,8.82,35.67
lobby,20.85,1493.6,1766.55,65.67,689.84,3277.61,396.64,6249.02,8.08,35.47
lobby,20.31,1507.13,1797.48,78.79,714.27,3150.4,398.89,6245.9,9.41,35.87
