soil,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
coloma,74.67776874770082,430.22,782.64,248.87537836929508,594.24,811.45,219.15,5524.23,25.0,17.96
coloma,76.50920524289202,355.26,756.02,250.93883648115747,488.62,760.96,222.99,6659.24,28.0,18.24
coloma,75.35088826452994,229.96,693.16,264.01227818673976,303.65,784.74,256.15,6838.21,23.0,17.4
coloma,87.2890877725463,885.19,768.24,213.53145727818475,733.52,1004.9,308.49,7646.83,24.0,25.0
coloma,84.71227006933559,821.98,793.12,211.7689025629822,641.42,890.36,270.19,7396.96,23.0,23.67
coloma,78.39732920834474,674.37,1048.91,219.17496034569703,311.04,884.25,321.0,7394.19,22.0,22.85
coloma,81.10840273042886,393.27,755.15,252.365019191252,557.17,850.23,235.6,7365.88,27.0,19.43
coloma,115.17,387.79,727.65,233.09710229518578,733.16,801.5,214.61,7642.52,26.0,18.85
coloma,75.62784388415818,340.49,888.71,244.76977697578042,291.64,768.85,247.73,7438.97,30.0,17.49
coloma,80.37381826763897,460.26,799.23,261.3600950308065,626.38,1015.95,372.87,7161.51,30.0,23.47
coloma,79.69301106312463,472.77,858.16,253.02597887213759,588.61,915.34,334.44,7117.76,29.0,23.29
coloma,103.59493216432922,355.94,752.09,302.0086448949458,1880.61,917.5,391.2,7082.38,28.0,21.44
coloma,77.70421016710429,383.13,1339.62,244.36481125343693,542.79,828.3,229.52,7175.86,32.0,18.93
coloma,90.3502936243394,963.57,1222.64,227.143388359329,815.09,1093.82,585.88,8928.42,30.0,39.65
coloma,97.02443200872801,738.5,226.87,275.41923870962177,1265.08,1011.7,674.29,8396.81,31.0,38.06
coloma,79.55499364316103,725.67,846.81,268.22290253512625,623.45,1338.83,422.09,7076.99,23.0,45.3
coloma,83.6459527393701,1070.2,813.64,236.9384498064108,702.91,1410.1,440.62,8172.89,30.0,52.46
coloma,86.67001707837538,727.42,760.38,281.12866318367924,910.15,1325.36,495.57,7738.6,25.0,49.31
coloma,72.10949536989447,235.0,824.99,267.49303212512683,438.42,877.48,163.59,5771.09,25.0,18.11
coloma,75.55902570802404,397.31,983.43,246.61342728840134,439.76,857.39,167.24,6564.19,25.0,20.08
coloma,77.16759291156916,363.9,740.74,256.86449175949264,614.79,840.47,186.0,6332.21,28.0,19.56
coloma,80.1473303960213,322.09,928.44,276.16659466169494,537.18,1074.7,356.97,7426.08,27.0,23.7
