id,soil,sample,rep,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
223,lobby,30,3,22.47,1737.89,564.6,7.8,716.66,0,325.36,6122.05,6.29,35.38
224,lobby,31,1,24.66,1994.95,887.64,37.69,854.74,0,484.62,6915.43,6.59,38.59
225,lobby,31,2,38.21,2026.33,906.82,41.54,1132.84,0,487.43,7005.92,6.38,39.1
226,lobby,31,3,26.74,2017.76,929.99,42.41,910.74,0,490.44,7037.87,6.79,38.65
227,lobby,32,1,27.91,2242.36,2309.74,160.41,1259.01,0,561.67,8122.98,14.06,49.8
228,lobby,32,2,27.88,2276.23,2316.42,159.92,1242.43,0,564.07,8024.55,14.07,49.66
229,lobby,32,3,26.79,2208.1,2322.29,160.86,1212.57,0,559.32,7944.82,14.05,48.97
230,lobby,33,1,22.37,1345.39,555.95,0,707.13,1009.02,259.08,5865.67,4.37,29.81
231,lobby,33,2,21.37,1368.01,588.85,0,681.3,990.04,260.97,5827.1,4.82,29.61
232,lobby,33,3,19.75,1260.2,185.02,0,692.9,977.93,264.93,5657.27,4.98,29.04
233,lobby,34,1,18.72,1381.58,275.28,0,602.31,1112.04,198.46,5105.54,4.12,32.04
234,lobby,34,2,18.39,1313.38,216.41,0,586.5,1079.91,187.51,4992.23,2.68,30.4
235,lobby,34,3,20.15,1389.05,268.38,0,660.97,1117.17,196.96,5132.11,3.85,31.87
236,lobby,35,1,14.33,1232.15,259.49,0,540.51,1018.29,163.04,4744.59,3.17,26.57
237,lobby,35,2,14.59,1255.39,239.89,0,536.78,1023.12,163.17,4768.53,2.64,26.66
238,lobby,35,3,16.17,1236.29,230.79,0,597.52,1018.07,162.09,4784.49,2.56,26.25
239,lobby,36,1,24.95,1255.81,262.87,0,842.02,1019.42,179.84,4839.54,3.02,27.32
240,lobby,36,2,14.71,1237.13,294.04,0,553.75,989.56,182.17,4767.37,3.5,27.58
241,lobby,36,3,36.84,1236.08,281.87,0,759.44,1000.23,179.43,4667.24,3.82,27.2
242,lobby,37,1,30.09,1227.57,244.08,0,655.22,1057.81,315.17,5423.91,9.45,33.85
243,lobby,37,2,20.75,1231.15,250.42,0,622.19,1043.01,315.34,5424.31,5.12,34.34
244,lobby,37,3,18.18,1168.68,237.14,0,570.3,984.94,295.65,5129.56,4.88,32.81
245,lobby,38,1,15.56,1103.03,296.65,0,583.63,939.69,338.39,5039.5,3.84,34.1
246,lobby,38,2,16.14,1094.85,290.39,0,583.62,939.58,339.83,5068.46,3.5,33.09
247,lobby,38,3,15.95,1107.48,291.08,0,575.09,925.57,340.54,5033.89,3.73,33.14
248,lobby,39,1,20.32,1480.59,728.51,21.81,742.16,0,361.26,5814.99,7.52,37.41
249,lobby,39,2,19.25,1453.88,788.42,21.4,691.42,0,358.7,5749.74,7.48,37
250,lobby,39,3,42.26,1482.42,835.49,19.11,815.66,0,359.02,5791.77,7,36.74
251,lobby,40,1,22.75,1589.97,954.93,32.99,751.45,0,388.72,6720.93,7.03,34.81
252,lobby,40,2,29.1,1524.49,963.43,39.77,757.94,0,376.27,6283.15,7.52,32.64
253,lobby,40,3,23.02,1597.57,1025.82,39.75,750.19,0,385.47,6562.84,7.29,33.61
254,lobby,41,1,19.37,1488.01,1421,72.43,738.8,0,387.69,6007.34,6.49,35.85
255,lobby,41,2,18.79,1475.94,1456.57,71.24,733.34,0,384.46,5928.64,6.09,35.32
256,lobby,41,3,27.46,1489.56,1485.42,71.81,865,0,386,5925.79,6.03,35.5
257,lobby,42,1,22.19,1514.2,1731.86,70.94,784.43,0,398.12,6267.83,8.82,35.67
