id,name,sample,rep,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
279,lobby,49,2,optimum,high,high,low,high,NA,high,high,high,high
280,lobby,49,3,optimum,high,high,low,high,NA,high,high,high,high
281,lobby,50,1,high,high,high,NA,high,high,high,high,optimum,high
282,lobby,50,2,optimum,high,high,NA,high,high,high,high,optimum,high
283,lobby,50,3,high,high,high,NA,high,high,high,high,optimum,high
284,lobby,51,1,optimum,high,high,NA,high,high,high,high,optimum,high
285,lobby,51,2,high,high,high,NA,high,high,high,high,optimum,high
286,lobby,51,3,high,high,high,NA,high,high,high,high,optimum,high
287,lobby,52,1,high,high,high,low,high,NA,high,high,optimum,high
288,lobby,52,2,high,high,high,low,high,NA,high,high,optimum,high
289,lobby,52,3,optimum,high,high,low,high,NA,high,high,optimum,high
290,lobby,53,1,high,high,high,low,high,NA,high,high,high,high
291,lobby,53,2,high,high,high,low,high,NA,high,high,high,high
292,lobby,53,3,high,high,high,low,high,NA,high,high,high,high
293,lobby,54,1,high,high,high,low,high,NA,high,high,optimum,high
294,lobby,54,2,high,high,high,low,high,NA,high,high,high,high
295,lobby,54,3,high,high,high,optimum,high,NA,high,high,high,high
296,lobby,55,1,high,high,high,low,high,NA,high,high,high,high
297,lobby,55,2,high,high,high,low,high,NA,high,high,high,high
298,lobby,55,3,high,high,high,low,high,NA,high,high,high,high
299,lobby,56,1,high,high,high,high,high,NA,high,high,high,high
300,lobby,56,2,high,high,high,high,high,NA,high,high,high,high
301,lobby,56,3,high,high,high,high,high,NA,high,high,high,high
302,lobby,57,1,high,high,high,high,high,NA,high,high,high,high
303,lobby,57,2,high,high,high,high,high,NA,high,high,high,high
304,lobby,57,3,high,high,high,high,high,NA,high,high,high,high
305,lobby,58,1,high,high,high,high,high,NA,high,high,optimum,high
306,lobby,58,2,high,high,high,high,high,NA,high,high,optimum,high
307,lobby,58,3,high,high,high,high,high,NA,high,high,optimum,high
308,lobby,59,1,high,high,high,optimum,high,NA,high,high,optimum,high
309,lobby,59,2,high,high,high,high,high,NA,high,high,optimum,high
310,lobby,59,3,high,high,high,high,high,NA,high,high,optimum,high
311,lobby,60,1,high,high,high,NA,high,NA,high,high,optimum,high
312,lobby,60,2,high,high,high,NA,high,NA,high,high,optimum,high
313,lobby,60,3,high,high,high,NA,high,NA,high,high,optimum,high
314,patrick,1,1,NA,high,high,NA,high,optimum,high,high,optimum,high
315,patrick,1,2,NA,high,high,NA,high,optimum,high,high,optimum,high
316,patrick,1,3,NA,high,high,NA,high,optimum,high,high,optimum,high
317,patrick,2,1,NA,optimum,high,NA,high,optimum,high,high,low,high
318,patrick,2,2,NA,high,high,NA,high,low,high,high,optimum,high
319,patrick,2,3,NA,high,high,NA,high,low,high,high,optimum,high
320,patrick,3,1,NA,high,optimum,NA,high,optimum,high,high,optimum,high
321,patrick,3,2,NA,high,high,NA,high,optimum,high,high,optimum,high
322,patrick,3,3,NA,high,high,NA,high,optimum,high,high,optimum,high
323,patrick,4,1,NA,optimum,NA,NA,low,low,high,high,NA,high
324,patrick,4,2,NA,high,high,NA,high,optimum,high,high,low,high
325,patrick,4,3,NA,high,high,NA,high,low,high,high,optimum,high
326,patrick,5,1,NA,high,high,NA,high,optimum,high,high,optimum,high
327,patrick,5,2,NA,high,high,NA,high,optimum,high,high,optimum,high
328,patrick,5,3,NA,high,high,low,high,optimum,high,high,optimum,high
329,patrick,6,1,high,high,high,NA,high,optimum,high,high,optimum,high
330,patrick,6,2,high,high,high,NA,high,optimum,high,high,optimum,high
331,patrick,6,3,high,high,high,NA,high,optimum,high,high,optimum,high
332,patrick,7,1,high,high,high,NA,high,optimum,high,high,optimum,high
333,patrick,7,2,high,high,high,NA,high,optimum,high,high,optimum,high
334,patrick,7,3,high,high,high,NA,high,optimum,high,high,optimum,high
335,patrick,8,1,high,high,high,NA,high,optimum,high,high,NA,high
336,patrick,8,2,high,high,high,NA,high,optimum,high,high,NA,high
337,patrick,8,3,high,high,high,NA,high,optimum,high,high,NA,high
338,patrick,9,1,high,high,high,NA,high,optimum,high,high,low,high
339,patrick,9,2,high,high,high,NA,high,optimum,high,high,low,high
340,patrick,9,3,high,high,high,NA,high,optimum,high,high,NA,high
341,patrick,10,1,high,high,high,low,high,optimum,high,high,low,high
342,patrick,10,2,high,high,high,NA,high,optimum,high,high,NA,high
343,patrick,10,3,high,high,high,NA,high,optimum,high,high,NA,high
344,patrick,11,1,high,high,high,low,high,optimum,high,high,optimum,high
345,patrick,11,2,high,high,high,low,high,optimum,high,high,optimum,high
346,patrick,11,3,high,high,high,low,high,optimum,high,high,optimum,high
347,patrick,12,1,high,high,high,low,high,high,high,high,optimum,high
348,patrick,12,2,high,high,high,low,high,NA,high,high,optimum,high
349,patrick,12,3,high,high,high,low,high,NA,high,high,optimum,high
350,patrick,13,1,high,high,high,low,high,optimum,high,high,low,high
351,patrick,13,2,high,high,high,low,high,optimum,high,high,optimum,high
352,patrick,13,3,high,high,high,low,high,optimum,high,high,optimum,high
