id,soil,sample,rep,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
141,coloma,49,3,0,0,811.02,0,9409.18,2814.49,409,12919,25,26
142,coloma,52,1,0,0,818.87,0,8825.62,2867.38,494,12949,26,27
143,coloma,52,2,0,0,871.25,0,8868.79,2804.48,518,13350,30,32
144,coloma,52,3,0,0,907.92,0,8920.25,2771.61,498,12911,23,25
145,coloma,53,1,0,0,1003.95,0,8159.05,2481.44,530,13845,30,38
146,coloma,53,3,0,0,1007.88,0,8072.72,2417.83,527,13863,32,32
147,coloma,53,1,0,0,1035.38,0,8217.99,2600.08,512,14076,29,38
148,coloma,54,1,0,0,841.14,0,8661.26,2824.49,348,10683,23,26
149,coloma,54,2,0,0,949.82,0,8662.92,2958.14,374,11025,28,26
150,coloma,54,3,0,0,1048.91,0,9255.62,3000.31,419,10639,27,29
151,coloma,55,1,0,0,1218.71,0,10008.52,3816.5,755,18480,26,40
152,coloma,55,2,0,0,1148.43,0,9891.47,3790.77,730,18413,35,40
153,coloma,55,3,0,0,1419.93,185,10289.09,3982.31,748,19160,28,43
154,coloma,56,1,0,0,1395.93,0,9942.94,3589.94,741,17852,31,46.5
155,coloma,56,2,0,0,1384.14,0,10230.98,3659.26,764,16921,34,46
156,coloma,56,3,0,0,1475.81,0,10334.75,3720.73,781,16887,31,45
157,coloma,57,1,0,0,1378.03,0,9083.78,2730.15,797,15593,36,52
158,coloma,57,2,0,0,1294.22,0,9100.39,2680.13,797,15845,33,51
159,coloma,57,3,0,0,1419.06,0,9288.82,2735.16,821,15401,34,54
160,coloma,59,1,0,0,1927.15,202,11344.98,3133.24,1173,17094,32,65
161,coloma,59,2,0,0,1861.24,0,10812.05,3082.5,1097,16546,34,63
162,coloma,59,3,0,0,1745.13,0,10910.83,2927.41,1114,16655,32,64
163,coloma,62,1,0,0,1498.94,0,9747.86,2944.56,965,16207,35,54
164,coloma,62,2,0,0,1561.36,0,10067.45,3214.72,946,16710,36,53
165,coloma,62,3,0,0,1543.46,0,9732.92,3023.9,860,16116,33,43
166,lobby,1,1,0,0,774.79,0,7406.15,2671.55,300,8133,27,39
167,lobby,1,2,0,0,626.81,0,7498.29,2711.57,358,8060,25,34
168,lobby,1,3,0,0,729.83,0,7468.41,2783.04,308,7880,25,40
169,lobby,2,1,0,0,944.59,0,8191.43,2884.53,366,8541,25,37
170,lobby,2,2,0,0,912.72,0,8001.33,2690.13,394,8676,26,37
171,lobby,2,3,0,0,780.46,0,8001.33,2902.4,358,8359,31,36
172,lobby,3,1,0,0,701.46,0,8301,3003.88,345,8825,30,43
