soil,sample,rep,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
coloma,33,2,0.0,472.77,858.16,0.0,588.61,915.34,334.44,7117.76,29.0,23.29
coloma,33,3,0.0,355.94,752.09,0.0,1880.61,917.5,391.2,7082.38,28.0,21.44
coloma,34,1,0.0,383.13,1339.62,0.0,542.79,828.3,229.52,7175.86,32.0,18.93
coloma,34,2,0.0,963.57,1222.64,0.0,815.09,1093.82,585.88,8928.42,30.0,39.65
coloma,34,3,0.0,738.5,226.87,0.0,1265.08,1011.7,674.29,8396.81,31.0,38.06
coloma,35,1,0.0,725.67,846.81,0.0,623.45,1338.83,422.09,7076.99,23.0,45.3
coloma,35,2,0.0,1070.2,813.64,0.0,702.91,1410.1,440.62,8172.89,30.0,52.46
coloma,35,3,0.0,727.42,760.38,0.0,910.15,1325.36,495.57,7738.6,25.0,49.31
coloma,36,1,0.0,235.0,824.99,0.0,438.42,877.48,163.59,5771.09,25.0,18.11
coloma,36,2,0.0,397.31,983.43,0.0,439.76,857.39,167.24,6564.19,25.0,20.08
coloma,36,3,0.0,363.9,740.74,0.0,614.79,840.47,186.0,6332.21,28.0,19.56
coloma,37,1,0.0,322.09,928.44,0.0,537.18,1074.7,356.97,7426.08,27.0,23.7
coloma,37,2,0.0,680.88,796.18,0.0,600.92,1097.21,373.57,8441.71,26.5,27.78
coloma,37,3,0.0,546.13,797.92,0.0,659.43,1153.04,441.8,9030.87,26.0,26.5
coloma,38,1,0.0,1060.05,41.62,0.0,738.76,1400.25,589.63,9477.76,31.0,37.8
coloma,38,2,0.0,1485.94,1159.34,0.0,836.55,1462.6,610.55,11015.62,26.0,43.48
coloma,38,3,0.0,1403.82,199.89,0.0,884.15,1463.04,719.02,10835.64,28.0,41.74
coloma,39,1,0.0,520.79,763.44,0.0,593.45,934.3,360.24,7309.47,27.0,23.87
coloma,39,2,0.0,766.23,883.48,0.0,662.07,994.85,376.61,8387.49,32.0,27.81
coloma,39,3,0.0,675.47,887.84,0.0,624.03,995.81,451.2,8406.11,26.0,28.68
coloma,40,1,0.0,456.74,935.42,0.0,519.06,926.73,397.24,7732.08,27.0,24.12
coloma,40,2,0.0,637.22,919.27,0.0,589.68,971.9,408.76,9201.6,27.0,27.43
coloma,40,3,0.0,531.14,921.45,0.0,469.94,992.87,494.9,9329.99,30.0,26.39
coloma,41,1,0.0,606.88,861.21,181.0,639.43,1168.39,429.37,8463.83,27.0,24.3
coloma,41,2,0.0,914.54,764.75,0.0,635.4,1179.06,439.14,9517.67,27.0,28.05
coloma,41,3,0.0,665.76,769.99,277.0,2726.35,1187.17,524.49,9608.67,25.0,26.02
coloma,42,1,0.0,317.24,778.28,232.0,475.7,947.3,389.06,7326.43,28.0,23.42
coloma,42,2,0.0,504.93,886.97,350.0,517.02,988.64,391.5,8520.9,30.0,26.58
coloma,42,3,0.0,463.71,816.26,179.0,1447.78,982.75,474.47,8650.37,27.0,25.95
coloma,43,1,0.0,1521.61,303.69,287.0,1080.08,1668.02,749.32,10477.55,32.0,42.75
coloma,43,2,0.0,1931.37,1190.34,0.0,1073.75,1701.08,770.98,11940.64,29.0,49.84
coloma,43,3,0.0,1892.25,409.06,288.0,1650.25,1732.8,944.88,12369.65,27.0,48.59
coloma,44,1,0.0,706.82,869.94,0.0,684.67,1156.46,436.66,8319.74,31.0,26.07
coloma,44,2,0.0,1082.5,844.19,0.0,997.6,1263.71,490.7,10128.58,28.0,31.97
coloma,44,3,0.0,945.56,897.01,0.0,1045.75,1234.91,566.41,9834.4,24.0,30.43
coloma,45,1,0.0,847.2,295.83,178.0,817.95,1181.37,572.04,7007.72,29.0,34.11
coloma,45,2,0.0,1230.05,251.09,0.0,1082.29,1237.18,621.67,8418.52,28.0,40.42
coloma,45,3,0.0,1134.82,331.02,0.0,1059.68,1222.37,717.47,8271.08,30.0,38.95
coloma,46,1,0.0,793.53,90.78,0.0,667.98,1020.3,481.56,8357.33,28.0,30.92
coloma,46,2,0.0,1224.91,151.85,0.0,940.74,1061.52,514.2,9904.84,27.0,36.25
coloma,46,3,0.0,942.59,256.0,0.0,846.95,976.86,570.11,9285.89,26.0,34.66
lobby,1,1,0.0,665.75,774.79,0.0,199.64,918.71,273.65,3221.17,5.44,34.98
lobby,1,2,0.0,768.03,104.66,0.0,220.76,845.73,288.87,3722.97,5.32,36.84
lobby,1,3,10.66,1035.92,260.14,0.0,581.68,875.56,279.42,3757.6,4.82,35.1
lobby,2,1,0.0,488.42,2.82,0.0,53.08,799.27,293.12,3580.72,9.4,35.45
lobby,2,2,0.0,684.07,217.68,0.0,193.55,816.78,302.54,3756.43,9.49,40.11
lobby,2,3,0.0,866.61,367.78,0.0,343.09,742.54,290.09,3874.31,8.61,34.72
lobby,3,1,0.0,502.53,701.46,0.0,194.23,760.48,331.56,4471.12,4.99,35.12
lobby,3,2,0.0,875.79,212.42,0.0,281.57,712.49,328.8,4180.4,4.78,36.79
lobby,3,3,0.0,891.81,412.79,0.0,511.69,719.61,328.25,4157.23,5.5,36.37
lobby,4,1,0.0,437.83,728.08,0.0,241.16,708.15,292.15,3954.45,5.0,26.74
lobby,4,2,0.0,803.81,214.21,0.0,406.22,763.61,313.03,4424.46,5.74,29.43
lobby,4,3,0.0,1234.99,411.14,0.0,496.07,911.22,320.96,4162.04,6.8,73.77
lobby,5,1,0.0,1101.23,427.53,172.0,495.95,989.72,442.22,6007.81,5.91,36.87
