id,soil,sample,rep,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
95,coloma,34,1,0.00,383.13,0.00,0.00,542.79,828.30,229.52,7175.86,0.00,18.93
96,coloma,34,2,0.00,963.57,0.00,0.00,815.09,1093.82,585.88,8928.42,0.00,39.65
97,coloma,34,3,0.00,738.50,226.87,0.00,1265.08,1011.70,674.29,8396.81,0.00,38.06
98,coloma,35,1,0.00,725.67,0.00,0.00,623.45,1338.83,422.09,7076.99,0.00,45.30
99,coloma,35,2,0.00,1070.20,0.00,0.00,702.91,1410.10,440.62,8172.89,0.00,52.46
100,coloma,35,3,0.00,727.42,0.00,0.00,910.15,1325.36,495.57,7738.60,0.00,49.31
101,coloma,36,1,0.00,235.00,0.00,0.00,438.42,877.48,163.59,5771.09,0.00,18.11
102,coloma,36,2,0.00,397.31,0.00,0.00,439.76,857.39,167.24,6564.19,0.00,20.08
103,coloma,36,3,0.00,363.90,0.00,0.00,614.79,840.47,186.00,6332.21,0.00,19.56
104,coloma,37,1,0.00,322.09,0.00,0.00,537.18,1074.70,356.97,7426.08,0.00,23.70
105,coloma,37,2,0.00,680.88,0.00,0.00,600.92,1097.21,373.57,8441.71,0.00,27.78
106,coloma,37,3,0.00,546.13,0.00,0.00,659.43,1153.04,441.80,9030.87,0.00,26.50
107,coloma,38,1,0.00,1060.05,41.62,0.00,738.76,1400.25,589.63,9477.76,0.00,37.80
108,coloma,38,2,0.00,1485.94,0.00,0.00,836.55,1462.60,610.55,11015.62,0.00,43.48
109,coloma,38,3,0.00,1403.82,199.89,0.00,884.15,1463.04,719.02,10835.64,0.00,41.74
110,coloma,39,1,0.00,520.79,0.00,0.00,593.45,934.30,360.24,7309.47,0.00,23.87
111,coloma,39,2,0.00,766.23,0.00,0.00,662.07,994.85,376.61,8387.49,0.00,27.81
112,coloma,39,3,0.00,675.47,0.00,0.00,624.03,995.81,451.20,8406.11,0.00,28.68
113,coloma,40,1,0.00,456.74,0.00,0.00,519.06,926.73,397.24,7732.08,0.00,24.12
114,coloma,40,2,0.00,637.22,0.00,0.00,589.68,971.90,408.76,9201.60,0.00,27.43
115,coloma,40,3,0.00,531.14,0.00,0.00,469.94,992.87,494.90,9329.99,0.00,26.39
116,coloma,41,1,0.00,606.88,0.00,0.00,639.43,1168.39,429.37,8463.83,0.00,24.30
117,coloma,41,2,0.00,914.54,0.00,0.00,635.40,1179.06,439.14,9517.67,0.00,28.05
118,coloma,41,3,0.00,665.76,0.00,0.00,2726.35,1187.17,524.49,9608.67,0.00,26.02
119,coloma,42,1,0.00,317.24,0.00,0.00,475.70,947.30,389.06,7326.43,0.00,23.42
120,coloma,42,2,0.00,504.93,0.00,0.00,517.02,988.64,391.50,8520.90,0.00,26.58
121,coloma,42,3,0.00,463.71,0.00,0.00,1447.78,982.75,474.47,8650.37,0.00,25.95
122,coloma,43,1,0.00,1521.61,303.69,0.00,1080.08,1668.02,749.32,10477.55,0.00,42.75
123,coloma,43,2,0.00,1931.37,0.00,0.00,1073.75,1701.08,770.98,11940.64,0.00,49.84
124,coloma,43,3,0.00,1892.25,409.06,0.00,1650.25,1732.80,944.88,12369.65,0.00,48.59
125,coloma,44,1,0.00,706.82,0.00,0.00,684.67,1156.46,436.66,8319.74,0.00,26.07
126,coloma,44,2,0.00,1082.50,0.00,0.00,997.60,1263.71,490.70,10128.58,0.00,31.97
127,coloma,44,3,0.00,945.56,0.00,0.00,1045.75,1234.91,566.41,9834.40,0.00,30.43
128,coloma,45,1,0.00,847.20,295.83,0.00,817.95,1181.37,572.04,7007.72,0.00,34.11
129,coloma,45,2,0.00,1230.05,251.09,0.00,1082.29,1237.18,621.67,8418.52,0.00,40.42
130,coloma,45,3,0.00,1134.82,331.02,0.00,1059.68,1222.37,717.47,8271.08,0.00,38.95
131,coloma,46,1,0.00,793.53,90.78,0.00,667.98,1020.30,481.56,8357.33,0.00,30.92
132,coloma,46,2,0.00,1224.91,151.85,0.00,940.74,1061.52,514.20,9904.84,0.00,36.25
133,coloma,46,3,0.00,942.59,256.00,0.00,846.95,976.86,570.11,9285.89,0.00,34.66
134,lobby,1,1,0.00,665.75,0.00,0.00,199.64,918.71,273.65,3221.17,5.44,34.98
135,lobby,1,2,0.00,768.03,104.66,0.00,220.76,845.73,288.87,3722.97,5.32,36.84
136,lobby,1,3,10.66,1035.92,260.14,0.00,581.68,875.56,279.42,3757.60,4.82,35.10
137,lobby,2,1,0.00,488.42,2.82,0.00,53.08,799.27,293.12,3580.72,9.40,35.45
138,lobby,2,2,0.00,684.07,217.68,0.00,193.55,816.78,302.54,3756.43,9.49,40.11
139,lobby,2,3,0.00,866.61,367.78,0.00,343.09,742.54,290.09,3874.31,8.61,34.72
140,lobby,3,1,0.00,502.53,0.00,0.00,194.23,760.48,331.56,4471.12,4.99,35.12
141,lobby,3,2,0.00,875.79,212.42,0.00,281.57,712.49,328.80,4180.40,4.78,36.79
142,lobby,3,3,0.00,891.81,412.79,0.00,511.69,719.61,328.25,4157.23,5.50,36.37
143,lobby,4,1,0.00,437.83,0.00,0.00,241.16,708.15,292.15,3954.45,5.00,26.74
144,lobby,4,2,0.00,803.81,214.21,0.00,406.22,763.61,313.03,4424.46,5.74,29.43
145,lobby,4,3,0.00,1234.99,411.14,0.00,496.07,911.22,320.96,4162.04,6.80,73.77
146,lobby,5,1,0.00,1101.23,427.53,0.00,495.95,989.72,442.22,6007.81,5.91,36.87
147,lobby,5,2,0.00,1234.11,688.85,0.00,563.16,950.19,465.86,6077.37,7.33,39.49
148,lobby,5,3,0.00,1372.19,775.28,0.00,604.30,905.70,465.13,5496.40,6.98,37.71
149,lobby,6,1,0.00,967.58,557.32,0.00,455.74,677.97,348.22,4566.11,5.56,34.78
150,lobby,6,2,0.00,896.65,544.99,0.00,542.24,671.18,343.42,4362.66,5.44,28.59
151,lobby,6,3,0.00,1067.67,577.91,0.00,483.70,772.43,328.83,4131.04,5.40,28.34
152,lobby,7,1,0.00,885.98,480.20,0.00,406.10,623.38,300.82,3769.06,5.05,23.73
153,lobby,7,2,0.00,846.05,492.28,0.00,421.93,625.24,297.98,3804.80,4.60,34.57
154,lobby,7,3,0.00,853.43,557.01,0.00,352.53,621.06,319.78,3859.70,5.06,24.78
155,lobby,8,1,0.00,2521.29,640.38,0.00,347.87,0.00,284.64,3651.19,5.50,25.08
156,lobby,8,2,0.00,828.05,683.43,0.00,332.43,593.40,296.46,3787.49,5.59,24.99
157,lobby,8,3,0.00,834.78,680.75,0.00,441.08,612.74,292.97,3739.71,5.72,25.18
158,lobby,9,1,0.00,671.32,564.21,0.00,264.02,492.46,230.23,3382.37,2.83,18.53
159,lobby,9,2,0.00,804.38,592.03,0.00,499.11,573.59,232.83,3645.11,2.84,19.06
160,lobby,9,3,0.00,758.03,610.38,0.00,300.48,556.65,243.40,3629.13,2.87,19.27
161,lobby,10,1,0.00,854.24,756.78,0.00,387.60,597.12,251.39,3825.11,4.37,27.80
162,lobby,10,2,0.00,924.90,769.78,0.00,386.28,641.65,257.08,4000.37,4.53,22.04
163,lobby,10,3,0.00,876.48,773.24,0.00,395.88,600.68,249.34,3829.76,4.43,21.99
164,lobby,11,1,20.53,1070.15,689.58,0.00,748.71,0.00,338.80,5637.97,3.96,26.82
165,lobby,11,2,20.84,1078.85,753.91,0.00,739.14,0.00,338.88,5614.34,3.97,27.39
166,lobby,11,3,0.00,0.00,0.00,0.00,0.00,11.63,0.00,23.88,0.00,0.00
167,lobby,12,1,21.19,1152.62,1133.02,24.83,759.31,0.00,342.02,6092.35,6.43,27.92
168,lobby,12,2,20.37,1141.22,1182.21,27.14,751.71,0.00,342.37,6099.33,6.46,28.40
169,lobby,12,3,21.16,1212.81,1229.95,30.88,780.43,0.00,349.23,6287.70,6.65,27.84
170,lobby,13,1,19.60,1229.00,1016.12,0.00,653.42,0.00,201.33,5314.15,3.57,24.22
171,lobby,13,2,19.53,1257.57,1029.06,0.00,632.09,0.00,202.36,5502.35,3.90,25.07
172,lobby,13,3,19.61,1250.62,1038.24,0.00,640.15,0.00,201.11,5538.18,3.40,30.69
173,lobby,14,1,22.21,1269.44,1109.23,0.00,695.97,0.00,261.69,5160.72,4.21,26.91
174,lobby,14,2,23.20,1297.23,1194.70,0.00,689.62,0.00,263.95,5135.92,4.01,28.41
175,lobby,14,3,23.48,1329.54,1278.47,3.32,714.31,0.00,270.69,5153.39,4.46,27.68
176,lobby,15,1,25.20,1595.69,1660.55,50.76,846.51,0.00,367.72,5733.36,7.69,34.15
177,lobby,15,2,28.43,1565.11,1676.18,41.19,879.02,0.00,366.52,5869.33,6.87,34.84
178,lobby,15,3,25.56,1587.82,1727.08,45.95,864.72,0.00,369.42,5870.26,7.19,34.45
179,lobby,16,1,25.79,1515.38,1548.50,44.67,727.79,0.00,318.67,5795.50,7.15,27.16
180,lobby,16,2,30.12,1531.72,1552.60,42.53,812.74,0.00,316.37,5785.85,6.90,26.90
181,lobby,16,3,24.92,1481.64,1547.21,38.75,687.50,0.00,314.06,5701.52,6.45,26.74
182,lobby,17,1,23.88,1414.55,1838.01,89.14,833.72,0.00,348.45,5555.72,8.61,31.72
183,lobby,17,2,24.61,1435.09,1849.47,99.48,869.29,0.00,352.14,5520.12,9.14,32.40
184,lobby,17,3,23.78,1424.12,1874.73,99.19,866.25,0.00,350.11,5479.07,8.98,31.40
185,lobby,18,1,23.33,1581.18,1312.68,14.79,601.62,0.00,235.22,5251.83,4.97,27.14
186,lobby,18,2,22.10,1608.48,1300.22,13.52,634.33,0.00,230.85,5239.69,4.04,27.61
187,lobby,18,3,22.68,1588.21,1321.86,17.61,606.78,0.00,232.44,5267.49,4.43,27.12
188,lobby,19,1,32.41,1960.52,2284.09,106.06,1007.25,0.00,501.73,7428.19,11.08,41.27
189,lobby,19,2,31.52,1922.20,2299.83,107.55,974.46,0.00,493.59,7360.69,11.31,40.68
190,lobby,19,3,31.17,1946.79,2320.02,106.93,991.36,0.00,497.76,7435.78,10.82,40.65
191,lobby,20,1,24.91,1581.12,1988.05,90.35,723.39,0.00,363.70,5741.51,7.81,38.35
192,lobby,20,2,24.06,1581.56,2008.49,84.91,686.47,0.00,368.94,5712.18,7.35,39.15
193,lobby,20,3,27.06,1614.31,2045.46,95.64,738.05,0.00,368.07,5752.68,8.26,39.01
194,lobby,21,1,22.34,1501.58,2090.90,50.51,657.48,0.00,351.24,5089.92,5.39,36.72
195,lobby,21,2,21.55,1560.78,2107.07,57.32,676.80,0.00,352.27,5085.76,6.01,37.36
196,lobby,21,3,21.74,1563.82,2174.38,61.81,682.14,0.00,360.97,5226.83,6.80,37.52
197,lobby,22,1,23.27,1542.60,807.20,21.95,759.10,0.00,430.26,5869.76,7.74,41.13
198,lobby,22,2,21.65,1517.92,876.38,18.72,716.59,0.00,423.45,5785.02,7.77,40.74
199,lobby,22,3,21.83,1510.49,901.95,13.44,710.42,0.00,428.30,5768.25,7.36,40.21
200,lobby,23,1,20.40,1519.15,1030.47,35.73,738.92,0.00,372.41,5308.49,7.62,40.80
201,lobby,23,2,21.62,1566.36,1065.89,27.15,696.38,0.00,382.31,5436.10,7.60,41.40
202,lobby,23,3,20.74,1526.40,1083.62,28.05,676.53,0.00,378.05,5328.65,7.33,40.86
203,lobby,24,1,23.91,1886.67,1549.43,73.68,769.54,0.00,506.09,6263.14,11.82,67.47
204,lobby,24,2,25.15,1892.94,1555.86,77.84,795.55,0.00,503.75,6333.49,11.95,67.25
205,lobby,24,3,24.46,1953.24,1630.31,88.11,811.70,0.00,516.94,6383.23,12.71,68.59
206,lobby,25,1,26.45,1742.86,1485.10,76.22,828.88,0.00,475.37,6840.89,17.10,42.90
207,lobby,25,2,27.57,1757.35,1491.63,70.78,822.49,0.00,479.41,6909.75,16.65,43.02
208,lobby,25,3,27.12,1744.87,1486.72,63.55,816.07,0.00,476.37,6919.44,16.18,42.39
209,lobby,26,1,26.25,1793.16,1612.17,65.18,850.28,0.00,526.60,6759.92,13.22,50.72
210,lobby,26,2,25.44,1732.11,1598.57,66.11,811.32,0.00,512.97,6545.01,13.22,48.66
211,lobby,26,3,26.24,1742.77,1561.57,52.71,838.31,0.00,507.52,6662.48,12.22,48.11
212,lobby,27,1,17.61,1354.26,1407.81,21.46,686.61,984.31,338.97,5248.62,5.52,35.50
213,lobby,27,2,18.70,1377.10,1508.85,24.43,711.48,1021.94,356.97,5379.05,6.64,38.00
214,lobby,27,3,17.98,1380.82,1522.94,23.64,714.62,1025.26,359.09,5436.12,6.69,37.94
215,lobby,28,1,16.90,1439.53,1467.02,19.90,708.67,1062.80,298.76,5135.72,5.71,39.14
216,lobby,28,2,16.51,1396.72,1484.25,19.49,704.21,1047.85,297.96,5162.76,5.50,39.66
217,lobby,28,3,16.80,1490.53,1503.51,21.44,743.79,1080.01,304.60,5286.09,5.58,39.78
218,lobby,29,1,22.61,1942.00,2317.43,115.05,1091.17,0.00,555.42,6847.11,11.86,50.54
219,lobby,29,2,23.97,1974.96,2328.67,111.52,1105.22,0.00,562.06,6966.18,11.19,50.95
220,lobby,29,3,33.80,2024.88,2321.16,115.38,1246.01,0.00,557.00,6982.57,11.67,51.15
221,lobby,30,1,23.29,1770.33,537.48,4.80,731.00,0.00,335.12,6234.02,6.95,36.21
222,lobby,30,2,22.62,1755.59,555.32,6.71,723.26,0.00,328.91,6147.81,6.42,35.73
223,lobby,30,3,22.47,1737.89,564.60,7.80,716.66,0.00,325.36,6122.05,6.29,35.38
224,lobby,31,1,24.66,1994.95,887.64,37.69,854.74,0.00,484.62,6915.43,6.59,38.59
